RANK,PLAYER,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,OWN
1,Travis Kelce (KC) ,105,145,"1,416",13.5,45,0,11,0,0,0,1,15,207.8,13.9,99.9%
2,Darren Waller (LV) ,107,145,"1,196",11.2,38,0,9,0,0,0,2,16,171.6,10.7,99.0%
3,Robert Tonyan (GB) ,52,59,586,11.3,45,0,11,0,0,0,0,16,124.6,7.8,32.5%
4,Mark Andrews (BAL) ,58,88,701,12.1,39,0,7,0,0,0,0,14,112.1,8.0,99.9%
5,T.J. Hockenson (DET) ,67,101,723,10.8,51,0,6,1,0,0,1,16,108.3,6.8,95.8%
6,Mike Gesicki (MIA) ,53,85,703,13.3,70,0,6,0,0,0,0,15,106.3,7.1,89.3%
7,Logan Thomas (WAS) ,72,110,670,9.3,30,0,6,3,5,0,0,16,104.6,6.5,33.1%
8,Rob Gronkowski (FA) ,45,77,623,13.8,48,0,7,0,0,0,0,16,104.3,6.5,49.4%
9,Jonnu Smith (NE) ,41,65,448,10.9,63,0,8,2,4,1,0,15,99.2,6.6,2.7%
10,Jimmy Graham (FA) ,50,76,456,9.1,30,0,8,0,0,0,0,16,93.6,5.9,0.1%
11,Hayden Hurst (CIN) ,56,88,571,10.2,42,0,6,0,0,0,0,16,93.1,5.8,11.5%
12,Jared Cook (FA) ,37,60,504,13.6,46,0,7,0,0,0,1,15,90.4,6.0,1.2%
13,Noah Fant (SEA) ,62,93,673,10.9,37,0,3,0,0,0,0,15,87.3,5.8,73.0%
14,Eric Ebron (FA) ,56,91,558,10.0,27,0,5,0,0,0,1,15,85.8,5.7,0.6%
15,Hunter Henry (NE) ,60,93,613,10.2,33,0,4,0,0,0,0,14,85.3,6.1,81.4%
16,Tyler Higbee (LAR) ,44,60,521,11.8,44,0,5,1,1,0,0,15,84.2,5.6,40.4%
17,Dalton Schultz (DAL) ,63,89,615,9.8,28,0,4,0,0,0,1,16,83.5,5.2,96.6%
18,Evan Engram (JAC) ,63,109,654,10.4,53,0,1,6,26,1,1,16,78.0,4.9,17.6%
19,George Kittle (SF) ,48,63,634,13.2,44,0,2,2,17,0,0,8,77.1,9.6,98.6%
20,Dallas Goedert (PHI) ,46,65,524,11.4,41,0,3,0,0,0,0,11,70.4,6.4,93.9%
21,Irv Smith Jr. (MIN) ,30,43,365,12.2,36,0,5,0,0,0,0,13,68.5,5.3,50.2%
22,Austin Hooper (TEN) ,46,70,435,9.5,36,0,4,0,0,0,0,13,67.5,5.2,13.2%
23,Dan Arnold (JAC) ,31,45,438,14.1,59,0,4,0,0,0,1,16,65.8,4.1,1.4%
24,Trey Burton (FA) ,28,47,250,8.9,20,0,3,2,3,2,0,13,55.3,4.3,0.0%
25,Darren Fells (FA) ,21,28,312,14.9,44,0,4,0,0,0,0,16,55.2,3.5,0.0%
26,Gerald Everett (LAC) ,41,62,417,10.2,40,0,1,1,2,1,1,16,51.9,3.2,21.0%
27,Mo Alie-Cox (IND) ,31,39,394,12.7,45,0,2,0,0,0,1,15,49.4,3.3,3.4%
28,Jordan Reed (FA) ,26,46,231,8.9,26,0,4,0,0,0,0,10,47.1,4.7,19.0%
29,Tyler Eifert (FA) ,36,60,349,9.7,28,0,2,0,0,0,0,15,46.9,3.1,0.0%
30,Jordan Akins (NYG) ,37,49,403,10.9,26,0,1,1,4,0,0,13,46.7,3.6,0.2%
31,Richard Rodgers (PHI) ,24,31,345,14.4,33,0,2,0,0,0,0,14,46.5,3.3,0.0%
32,Anthony Firkser (ATL) ,39,53,387,9.9,45,0,1,0,0,0,0,16,44.7,2.8,0.6%
33,Dawson Knox (BUF) ,24,44,288,12.0,36,0,3,0,0,0,2,12,42.8,3.6,90.5%
34,Chris Herndon IV (FA) ,31,46,287,9.3,26,0,3,0,0,0,2,16,42.7,2.7,0.0%
35,Zach Ertz (ARI) ,36,72,335,9.3,42,0,1,0,0,0,0,11,41.5,3.8,92.1%
36,Jack Doyle (FA) ,23,33,251,10.9,28,0,3,0,0,0,1,14,41.1,2.9,1.1%
37,Jacob Hollister (LV) ,25,40,209,8.4,20,0,3,0,0,0,0,16,40.9,2.6,0.0%
38,Cameron Brate (TB) ,28,34,282,10.1,25,0,2,0,0,0,0,16,40.2,2.5,6.6%
39,Drew Sample (CIN) ,40,53,349,8.7,23,0,1,0,0,0,1,16,38.9,2.4,0.2%
40,Harrison Bryant (CLE) ,24,38,238,9.9,35,0,3,0,0,0,2,15,37.8,2.5,0.8%
41,Kyle Rudolph (FA) ,28,37,334,11.9,25,0,1,0,0,0,1,12,37.4,3.1,0.1%
42,Will Dissly (SEA) ,24,29,251,10.5,28,0,2,0,0,0,0,16,37.1,2.3,0.3%
43,Cole Kmet (CHI) ,28,44,243,8.7,38,0,2,1,-3,0,1,16,34.0,2.1,57.9%
44,Donald Parham Jr. (LAC) ,10,20,159,15.9,26,0,3,0,0,0,0,13,33.9,2.6,0.8%
45,David Njoku (CLE) ,19,29,213,11.2,28,0,2,0,0,0,0,13,33.3,2.6,50.3%
46,Adam Shaheen (MIA) ,12,22,150,12.5,43,0,3,0,0,0,0,16,33.0,2.1,0.0%
47,Durham Smythe (MIA) ,26,29,208,8.0,19,0,2,0,0,0,0,15,32.8,2.2,0.1%
48,Ross Dwelley (SF) ,19,24,245,12.9,36,0,1,0,0,0,0,16,30.5,1.9,0.1%
49,Tyler Kroft (SF) ,12,16,119,9.9,38,0,3,0,0,0,0,10,29.9,3.0,0.0%
50,Greg Olsen (FA) ,24,37,239,10.0,22,0,1,0,0,0,0,11,29.9,2.7,7.0%
51,Marcedes Lewis (GB) ,10,17,107,10.7,36,0,3,0,0,0,0,15,28.7,1.9,0.1%
52,Pharaoh Brown (HOU) ,14,16,163,11.6,29,0,2,0,0,0,0,13,28.3,2.2,0.1%
53,O.J. Howard (BUF) ,11,19,146,13.3,33,0,2,0,0,0,0,4,26.6,6.7,2.5%
